city,country,population,latitude,longitude,region,continent
Warsaw,Poland,1651676,52.25,21.0,Eastern Europe,Europe
Cracow,Poland,755050,50.083333,19.916667,Eastern Europe,Europe
Wroclaw,Poland,634893,51.1,17.033333,Eastern Europe,Europe
Poznan,Poland,570352,52.416667,16.966667,Eastern Europe,Europe
Gdansk,Poland,461865,54.36085,18.658291,Eastern Europe,Europe
Szczecin,Poland,413658,53.439531,14.593891,Eastern Europe,Europe
Bydgoszcz,Poland,366452,53.127062,18.019987,Eastern Europe,Europe
Lublin,Poland,360044,51.25,22.566667,Eastern Europe,Europe
Katowice,Poland,317316,50.258415,19.027545,Eastern Europe,Europe
Bialystok,Poland,291855,53.133333,23.15,Eastern Europe,Europe
Gdynia,Poland,253730,54.5,18.55,Eastern Europe,Europe
Czestochowa,Poland,248125,50.796455,19.124088,Eastern Europe,Europe
Sosnowiec,Poland,227295,50.272243,19.155039,Eastern Europe,Europe
Radom,Poland,226794,51.400963,21.15809,Eastern Europe,Europe
Torun,Poland,208717,53.035831,18.604844,Eastern Europe,Europe
Kielce,Poland,208598,50.833333,20.666667,Eastern Europe,Europe
Gliwice,Poland,198835,50.297612,18.676583,Eastern Europe,Europe
Zabrze,Poland,192177,50.306355,18.783333,Eastern Europe,Europe
Bytom,Poland,189186,50.348017,18.932822,Eastern Europe,Europe
Bielsko-Biala,Poland,176515,49.822449,19.046863,Eastern Europe,Europe
Olsztyn,Poland,171803,53.779949,20.494162,Eastern Europe,Europe
Rzeszow,Poland,158382,50.037246,22.004949,Eastern Europe,Europe
Ruda Slaska,Poland,146189,50.307941,18.855156,Eastern Europe,Europe
Rybnik,Poland,142510,50.092076,18.547479,Eastern Europe,Europe
Tychy,Poland,131696,50.137167,18.96641,Eastern Europe,Europe
Dabrowa Gornicza,Poland,130601,50.326206,19.224381,Eastern Europe,Europe
Opole,Poland,127676,50.666667,17.95,Eastern Europe,Europe
Elblag,Poland,127558,54.1522,19.408841,Eastern Europe,Europe
Plock,Poland,127474,52.55,19.7,Eastern Europe,Europe
Walbrzych,Poland,127431,50.771407,16.28432,Eastern Europe,Europe
Gorzow Wielkopolski,Poland,124430,52.73679,15.228775,Eastern Europe,Europe
Wloclawek,Poland,120339,52.651435,19.072755,Eastern Europe,Europe
Zielona Gora,Poland,118433,51.939345,15.505772,Eastern Europe,Europe
Tarnow,Poland,117799,50.006105,20.95527,Eastern Europe,Europe
Chorzow,Poland,113430,50.305817,18.974203,Eastern Europe,Europe
Kalisz,Poland,108759,51.76109,18.091018,Eastern Europe,Europe
Koszalin,Poland,107450,54.193589,16.184916,Eastern Europe,Europe
Legnica,Poland,106033,51.210062,16.161898,Eastern Europe,Europe
Grudziadz,Poland,99486,53.483333,18.774123,Eastern Europe,Europe
Slupsk,Poland,98608,54.467761,17.027457,Eastern Europe,Europe
Jaworzno,Poland,96541,50.206025,19.270062,Eastern Europe,Europe
Jelenia Gora,Poland,87310,50.89828,15.729929,Eastern Europe,Europe
Nowy Sacz,Poland,84376,49.621766,20.697053,Eastern Europe,Europe
Konin,Poland,81258,52.208577,18.254103,Eastern Europe,Europe
Piotrkow Trybunalski,Poland,80128,51.410445,19.694952,Eastern Europe,Europe
Inowroclaw,Poland,77597,52.798858,18.263875,Eastern Europe,Europe
Lubin,Poland,77532,51.400825,16.203381,Eastern Europe,Europe
Siedlce,Poland,76772,52.168215,22.277296,Eastern Europe,Europe
Pila,Poland,75532,53.154997,16.746074,Eastern Europe,Europe
Myslowice,Poland,75281,50.236209,19.141123,Eastern Europe,Europe
Ostrowiec Swietokrzyski,Poland,73989,50.939932,21.387944,Eastern Europe,Europe
Siemianowice Slaskie,Poland,73121,50.304126,19.035834,Eastern Europe,Europe
Ostrow Wielkopolski,Poland,72898,51.649762,17.808934,Eastern Europe,Europe
Stargard Szczecinski,Poland,71224,53.341761,15.052135,Eastern Europe,Europe
Pabianice,Poland,70542,51.655351,19.345602,Eastern Europe,Europe
Gniezno,Poland,70269,52.53944,17.611262,Eastern Europe,Europe
Suwalki,Poland,69222,54.099444,22.933056,Eastern Europe,Europe
Glogow,Poland,68530,51.663026,16.075688,Eastern Europe,Europe
Kholm,Poland,68043,51.135831,23.482511,Eastern Europe,Europe
Tomaszow Mazowiecki,Poland,67197,51.538614,20.017606,Eastern Europe,Europe
Stalowa Wola,Poland,66495,50.551635,22.051089,Eastern Europe,Europe
Zamosc,Poland,66034,50.724679,23.260629,Eastern Europe,Europe
Kedzierzyn-Kozle,Poland,65636,50.35,18.2,Eastern Europe,Europe
Lomza,Poland,63723,53.173552,22.06538,Eastern Europe,Europe
Leszno,Poland,63565,51.848268,16.57022,Eastern Europe,Europe
Zory,Poland,63174,50.044976,18.694315,Eastern Europe,Europe
Belchatow,Poland,62896,51.366503,19.374485,Eastern Europe,Europe
Mielec,Poland,60993,50.286188,21.432657,Eastern Europe,Europe
Tarnowskie Gory,Poland,60938,50.448546,18.851463,Eastern Europe,Europe
Swidnica,Poland,60351,50.841705,16.479066,Eastern Europe,Europe
Tczew,Poland,60133,54.092291,18.79467,Eastern Europe,Europe
Piekary Slaskie,Poland,59757,50.384664,18.944183,Eastern Europe,Europe
Raciborz,Poland,58464,50.090569,18.207455,Eastern Europe,Europe
Bedzin,Poland,58236,50.319705,19.145249,Eastern Europe,Europe
Zgierz,Poland,58036,51.84469,19.408752,Eastern Europe,Europe
Biala Podlaska,Poland,57541,52.03129,23.121418,Eastern Europe,Europe
Elk,Poland,55769,53.826478,22.365416,Eastern Europe,Europe
Swietochlowice,Poland,55600,50.292455,18.914684,Eastern Europe,Europe
Pruszkow,Poland,54851,52.162608,20.812948,Eastern Europe,Europe
Ostroleka,Poland,53740,53.086206,21.575663,Eastern Europe,Europe
Starachowice,Poland,53738,51.051914,21.088273,Eastern Europe,Europe
Zawiercie,Poland,53159,50.488242,19.431832,Eastern Europe,Europe
Legionowo,Poland,50786,52.401488,20.926636,Eastern Europe,Europe
Tarnobrzeg,Poland,50459,50.572007,21.684761,Eastern Europe,Europe
Pulawy,Poland,49759,51.416667,21.966667,Eastern Europe,Europe
Wodzislaw Slaski,Poland,49521,50.010983,18.455074,Eastern Europe,Europe
Skarzysko-Kamienna,Poland,49410,51.117238,20.895717,Eastern Europe,Europe
Radomsko,Poland,49175,51.066749,19.454424,Eastern Europe,Europe
Skierniewice,Poland,49042,51.966667,20.15,Eastern Europe,Europe
Kutno,Poland,48323,52.228954,19.361672,Eastern Europe,Europe
Starogard Gdanski,Poland,48202,53.968898,18.535355,Eastern Europe,Europe
Nysa,Poland,47954,50.47226,17.33618,Eastern Europe,Europe
