"date","temp","feels_like","humidity","clouds","wind_speed","snow","rain","city","lat","lon"
2024-11-22 12:00:00,1.59,-0.52,78,100,1.93,"Yes","No","Warsaw",52.2297,21.0122
2024-11-23 12:00:00,1.62,-3.34,74,99,5.88,"No","No","Warsaw",52.2297,21.0122
2024-11-24 12:00:00,2.3,-1.98,66,100,4.89,"No","Yes","Warsaw",52.2297,21.0122
2024-11-25 12:00:00,6,3.17,73,100,3.85,"No","No","Warsaw",52.2297,21.0122
2024-11-26 12:00:00,6.61,4.71,93,100,2.63,"No","No","Warsaw",52.2297,21.0122
2024-11-22 12:00:00,2.6,-1.7,69,98,5.06,"Yes","No","Śródmieście",50.0647,19.945
2024-11-23 12:00:00,1.72,-3.99,74,82,7.73,"Yes","No","Śródmieście",50.0647,19.945
2024-11-24 12:00:00,3.33,3.33,66,87,0.59,"No","Yes","Śródmieście",50.0647,19.945
2024-11-25 12:00:00,9.2,9.2,70,87,1.31,"No","No","Śródmieście",50.0647,19.945
2024-11-26 12:00:00,6.44,3.55,89,100,4.15,"No","Yes","Śródmieście",50.0647,19.945
2024-11-22 12:00:00,2.31,-0.91,64,52,3.24,"No","No","Gdańsk",54.352,18.6466
2024-11-23 12:00:00,4.08,-1.17,50,32,8.46,"No","Yes","Gdańsk",54.352,18.6466
2024-11-24 12:00:00,1.02,-4.93,98,100,7.82,"Yes","No","Gdańsk",54.352,18.6466
2024-11-25 12:00:00,7.69,3.87,79,99,7.33,"No","No","Gdańsk",54.352,18.6466
2024-11-26 12:00:00,8.92,6.25,77,61,4.97,"No","No","Gdańsk",54.352,18.6466
