"city","lat","lon","date","temp","clouds","wind_speed","humidity","rain","snow","median_temp","median_clouds","median_humidity"
"Warsaw",52.25,21,2024-11-25,5.88,0,3.72,74,"Yes","No",5.88,0,74
"Warsaw",52.25,21,2024-11-26,5.32,11,3.87,76,"Yes","No",5.485,13,81.5
"Warsaw",52.25,21,2024-11-26,4.51,5,3.73,79,"Yes","No",5.485,13,81.5
"Warsaw",52.25,21,2024-11-26,3.56,3,3.48,84,"Yes","No",5.485,13,81.5
"Warsaw",52.25,21,2024-11-26,5.15,2,2.81,79,"Yes","No",5.485,13,81.5
"Warsaw",52.25,21,2024-11-26,7.41,15,2.59,76,"Yes","No",5.485,13,81.5
"Warsaw",52.25,21,2024-11-26,6.1,100,4.08,93,"Yes","No",5.485,13,81.5
"Warsaw",52.25,21,2024-11-26,6.13,100,2.37,98,"Yes","No",5.485,13,81.5
"Warsaw",52.25,21,2024-11-26,5.65,100,2.07,97,"Yes","No",5.485,13,81.5
"Warsaw",52.25,21,2024-11-27,4.45,74,2.04,98,"Yes","No",4.355,47.5,93
"Warsaw",52.25,21,2024-11-27,3.88,90,2.11,96,"Yes","No",4.355,47.5,93
"Warsaw",52.25,21,2024-11-27,3.23,67,2.25,95,"Yes","No",4.355,47.5,93
"Warsaw",52.25,21,2024-11-27,4.95,28,2.56,84,"Yes","No",4.355,47.5,93
"Warsaw",52.25,21,2024-11-27,6.66,27,2.98,80,"Yes","No",4.355,47.5,93
"Warsaw",52.25,21,2024-11-27,5.08,5,2.02,88,"Yes","No",4.355,47.5,93
"Warsaw",52.25,21,2024-11-27,4.26,19,1.89,93,"Yes","No",4.355,47.5,93
"Warsaw",52.25,21,2024-11-27,3.5,72,2.26,93,"Yes","No",4.355,47.5,93
"Warsaw",52.25,21,2024-11-28,4.05,81,3.52,88,"Yes","No",5.51,100,82.5
"Warsaw",52.25,21,2024-11-28,5,100,5.18,83,"Yes","No",5.51,100,82.5
"Warsaw",52.25,21,2024-11-28,5.64,100,5.84,78,"Yes","No",5.51,100,82.5
"Warsaw",52.25,21,2024-11-28,6.97,100,5.51,85,"Yes","No",5.51,100,82.5
"Warsaw",52.25,21,2024-11-28,7.43,100,6.15,62,"Yes","No",5.51,100,82.5
"Warsaw",52.25,21,2024-11-28,6.27,97,7.14,67,"Yes","No",5.51,100,82.5
"Warsaw",52.25,21,2024-11-28,5.38,99,6.78,82,"Yes","No",5.51,100,82.5
"Warsaw",52.25,21,2024-11-28,4.54,100,5.79,95,"Yes","No",5.51,100,82.5
"Warsaw",52.25,21,2024-11-29,4.81,100,4.02,89,"Yes","No",4.65,100,80.5
"Warsaw",52.25,21,2024-11-29,4.59,100,3.81,87,"Yes","No",4.65,100,80.5
"Warsaw",52.25,21,2024-11-29,4.86,100,4.62,86,"Yes","No",4.65,100,80.5
"Warsaw",52.25,21,2024-11-29,4.44,100,4.92,92,"Yes","No",4.65,100,80.5
"Warsaw",52.25,21,2024-11-29,5.09,100,4.81,67,"Yes","No",4.65,100,80.5
"Warsaw",52.25,21,2024-11-29,4.63,100,3.73,67,"Yes","No",4.65,100,80.5
"Warsaw",52.25,21,2024-11-29,4.67,100,2.83,66,"Yes","No",4.65,100,80.5
"Warsaw",52.25,21,2024-11-29,4.54,100,2.07,75,"Yes","No",4.65,100,80.5
"Warsaw",52.25,21,2024-11-30,3.76,97,2.12,70,"Yes","No",3.42,83,73
"Warsaw",52.25,21,2024-11-30,3.34,95,1.99,78,"Yes","No",3.42,83,73
"Warsaw",52.25,21,2024-11-30,2.68,87,1.83,83,"Yes","No",3.42,83,73
"Warsaw",52.25,21,2024-11-30,3.42,18,1.61,73,"Yes","No",3.42,83,73
"Warsaw",52.25,21,2024-11-30,4.74,19,1.16,64,"Yes","No",3.42,83,73
"Warsaw",52.25,21,2024-11-30,3.7,83,1.3,70,"Yes","No",3.42,83,73
"Warsaw",52.25,21,2024-11-30,2.59,58,1.7,80,"Yes","No",3.42,83,73
"Cracow",50.083333,19.916667,2024-11-25,5.4,7,1.34,60,"Yes","No",5.4,7,60
"Cracow",50.083333,19.916667,2024-11-26,4.79,7,0.54,67,"Yes","No",4.805,7,80.5
"Cracow",50.083333,19.916667,2024-11-26,3.71,7,0.97,76,"Yes","No",4.805,7,80.5
